,Smiles,Activity
0,COCCOC1CCCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,1
1,CC(C)COC1CCCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,1
2,C[C@H]1CN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C[C@@H]1CO,1
3,C[C@@H]1C[C@@H](CS(=O)(=O)N2CC[C@H](CO)C2)CC[C@@H]1N(C)c1ncnc2[nH]ccc12,1
4,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC(C)(O)C2)CC1,1
5,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(-c4cn[nH]c4)nc3)n2)CCN(C(=O)OCC(F)(F)F)CC1,1
6,Cn1cc(-c2ccc(Nc3nn([C@H]4COCC[C@@H]4C#N)cc3C(N)=O)cc2)cn1,1
7,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)F)cc3)n2)CCC(NCC(F)(F)F)CC1,1
8,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OC(=O)C(C)(C)C)C2)CC1,1
9,CCOP(=O)(OCC)O[C@@H]1CCCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,1
10,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1,1
11,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OP(=O)(O)O)C2)CC1,1
12,N#CC[C@@]1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(C(=O)OCC(F)F)C[C@@H]1F,1
13,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(NCc2ccccc2Cl)CC1,1
14,C[C@](O)(c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1)C(F)F,1
15,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(Nc2ccc(F)cc2F)CC1,1
16,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(Nc2ccc(F)cc2F)CC1,1
17,Cn1cc(-c2ccc(Nc3nn(C4(CC#N)CCN(C(=O)OCC(F)(F)F)CC4)cc3C(N)=O)cn2)cn1,1
18,C[C@@](O)(c1ccc(Nc2nn([C@H]3CC[C@@H](N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1)C(F)(F)F,1
19,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCC(NCc2ccccc2)CC1,1
20,C[C@@H]1NS(=O)(=O)c2ccc(Nc3nn([C@H]4COCC[C@@H]4C#N)cc3C(N)=O)cc21,1
21,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(Nc2ccccc2F)CC1,1
22,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCN(Cc2cccc(O)c2)CC1,1
23,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)F)cc3)n2)CCC(NCC(F)F)CC1,1
24,CC(F)(F)C(=O)N1CC[C@@](CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)nc3)n2)[C@@H](F)C1,1
25,CC(C)(C)OC(=O)N1CC[C@](CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](F)C1,1
26,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)F)cc3)n2)CCC(Nc2ccccc2)CC1,1
27,N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(Nc2cccc(F)c2)CC1,1
28,C[C@@](O)(c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1)C(F)F,1
29,N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc([C@H](O)C(F)(F)F)cc2)n1,1
30,CN(C)C(=O)c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1,1
31,CN(c1ccc(S(=O)(=O)NC2CCOCC2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
32,CN(C(=O)Nc1ccc(C(F)(F)F)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
33,CN(c1ccc(S(=O)(=O)NCc2ccc(F)cc2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
34,CN(c1ccc(NS(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
35,CN(c1ccc(S(=O)(=O)NCCO)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
36,CN(c1ccc(S(=O)(=O)N2CCNCC2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
37,CN(c1ccc(S(=O)(=O)NC[C@@H]2CCCO2)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
38,CN(c1ccc(Br)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,1
39,N#Cc1ccc(N(CC2CC2)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,1
40,CN(c1ccncn1)[C@H]1CCN(c2ncnc3[nH]ccc23)C1,1
